行号,路径
25756,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议/会议
25924,V2融合世界标签体系/通用分类标签/行为动作/争夺/争夺
25971,V2融合世界标签体系/通用分类标签/行为动作/休养/体育/滑冰/滑冰
26027,V2融合世界标签体系/通用分类标签/行为动作/休养/庆典/庆典
26102,V2融合世界标签体系/通用分类标签/行为动作/使联合/连接/连接
26122,V2融合世界标签体系/通用分类标签/行为动作/修剪/修剪
26237,V2融合世界标签体系/通用分类标签/行为动作/力图/篮球投篮/篮球投篮
26683,V2融合世界标签体系/通用分类标签/行为动作/旋转/旋转
26725,V2融合世界标签体系/通用分类标签/行为动作/比赛/比赛
26832,V2融合世界标签体系/通用分类标签/行为动作/状态变化/纹身/纹身
26893,V2融合世界标签体系/通用分类标签/行为动作/研究/研究
26894,V2融合世界标签体系/通用分类标签/行为动作/研究/研究
27800,V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包/包子/包子
28841,V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅/奶酪火锅
29006,V2融合世界标签体系/通用分类标签/食物/一道菜/零食/玉米片/玉米片
29024,V2融合世界标签体系/通用分类标签/食物/一餐/早餐/早餐
29067,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/十字花科蔬菜/卷心菜/羽衣甘蓝/羽衣甘蓝
29083,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/叶菜/沙拉叶菜/水田芥/水田芥
29141,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/茄科蔬菜/胡椒/甜椒/甜椒
29160,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆/四季豆
29161,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆/四季豆
29166,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/豌豆/豌豆
29216,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/橘子/橘子
29256,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜/甜瓜
29265,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/番荔枝/番荔枝
29348,V2融合世界标签体系/通用分类标签/食物/意大利面食/饺子/饺子
29541,V2融合世界标签体系/通用分类标签/食物/致醉物/利口酒/橙味利口酒/橙味利口酒
29585,V2融合世界标签体系/通用分类标签/食物/致醉物/烈性酒/杜松子酒/杜松子酒
29825,V2融合世界标签体系/通用分类标签/食物/食品/混合物/混合物
29865,V2融合世界标签体系/通用分类标签/食物/饲料/饲料
30028,V2融合世界标签体系/通用分类标签/声音/事物声音/警报器/警报器
30077,V2融合世界标签体系/通用分类标签/声音/人类声音/双手/鼓掌/鼓掌
30734,V2融合世界标签体系/通用分类标签/属性与状态/三维形状/环/环
30739,V2融合世界标签体系/通用分类标签/属性与状态/不动产/不动产
30754,V2融合世界标签体系/通用分类标签/属性与状态/个性/不情愿/不情愿
30799,V2融合世界标签体系/通用分类标签/属性与状态/人物形象/平面图形/多角形/正多边形/正多边形
30872,V2融合世界标签体系/通用分类标签/属性与状态/命运/不幸/不幸
30891,V2融合世界标签体系/通用分类标签/属性与状态/圆形/球/小球体/气泡/气泡
30893,V2融合世界标签体系/通用分类标签/属性与状态/圆形/球/小球体/气泡/泡沫/泡沫
30927,V2融合世界标签体系/通用分类标签/属性与状态/外表/美/吸引力/吸引力
30949,V2融合世界标签体系/通用分类标签/属性与状态/大小/大小
31039,V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/伤害/伤口/伤口
31050,V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/传染性疾病/传染病/传染病
31057,V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/恶性病变/恶性肿瘤/恶性肿瘤
31060,V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/皮肤病/皮肤病
31212,V2融合世界标签体系/通用分类标签/属性与状态/线/曲线/封闭曲线/简单封闭性状/圈/传送带/传送带
31305,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数
31411,V2融合世界标签体系/通用分类标签/时间数量与度量/压力单位/压力单位
31496,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币/硬币/硬币
31517,V2融合世界标签体系/通用分类标签/时间数量与度量/无维管生物/苔藓植物/地钱/地钱
31615,V2融合世界标签体系/通用分类标签/时间数量与度量/野生动物/野生动物
31649,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/兽皮/兽皮
31650,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/兽皮/兽皮
31741,V2融合世界标签体系/通用分类标签/材料与物质/垃圾/垃圾
31742,V2融合世界标签体系/通用分类标签/材料与物质/垃圾/垃圾
31748,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维
31830,V2融合世界标签体系/通用分类标签/材料与物质/毒品/医药/医药
31833,V2融合世界标签体系/通用分类标签/材料与物质/毒品/毒品
31865,V2融合世界标签体系/通用分类标签/材料与物质/混合物/混合物
31869,V2融合世界标签体系/通用分类标签/材料与物质/混合物/灰泥/灰泥
31898,V2融合世界标签体系/通用分类标签/材料与物质/矿物/水晶/水晶
31918,V2融合世界标签体系/通用分类标签/材料与物质/纸/卡/扑克牌/扑克牌
31921,V2融合世界标签体系/通用分类标签/材料与物质/纸/卫生纸/卫生纸
32187,V2融合世界标签体系/通用分类标签/知识与学科/收藏品集合/细绳/念珠/念珠
32288,V2融合世界标签体系/通用分类标签/知识与学科/界限/界限
32360,V2融合世界标签体系/通用分类标签/知识与学科/线/小径/小径
32424,V2融合世界标签体系/通用分类标签/知识与学科/配件/配件
32955,V2融合世界标签体系/IP 分类标签/真人与人物 IP/历史古人/艺术家/摄影师/摄影师
