标签名,出现次数,位置(行号:路径)
分开,3,7978:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/分开 || 11044:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/分开 || 26381:V2融合世界标签体系/通用分类标签/行为动作/完整性变化/分开
分数,3,30839:V2融合世界标签体系/通用分类标签/属性与状态/分数 || 31304:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数 || 31305:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数
划水动作,3,26192:V2融合世界标签体系/通用分类标签/行为动作/划水动作 || 26699:V2融合世界标签体系/通用分类标签/行为动作/机动动作/划水动作 || 26905:V2融合世界标签体系/通用分类标签/行为动作/移动/划水动作
划艇,3,796:V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/划艇 || 797:V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/划艇/划艇 || 913:V2融合世界标签体系/通用分类标签/交通工具/水上交通工具/划艇
制动器,3,10505:V2融合世界标签体系/通用分类标签/人造物体/约束/制动器 || 10506:V2融合世界标签体系/通用分类标签/人造物体/约束/制动器 || 10507:V2融合世界标签体系/通用分类标签/人造物体/约束/制动器/制动器
刺鲀,3,13233:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀 || 13234:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀/刺鲀 || 13235:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/愈颌目/刺鲀/刺鲀
刻度盘,3,9209:V2融合世界标签体系/通用分类标签/人造物体/指示器/刻度盘 || 9448:V2融合世界标签体系/通用分类标签/人造物体/机制/控制/开关/选择器/刻度盘 || 10624:V2融合世界标签体系/通用分类标签/人造物体/表面/侧面/前面/脸/刻度盘
前锋,3,1636:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/前锋 || 9503:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/前锋 || 32911:V2融合世界标签体系/IP 分类标签/真人与人物 IP/体育明星/篮球运动员/前锋
剪刀,3,3473:V2融合世界标签体系/通用分类标签/人造物体/办公文具/剪刀 || 26226:V2融合世界标签体系/通用分类标签/行为动作/剪刀 || 30151:V2融合世界标签体系/通用分类标签/声音/剪刀
剪切,3,26227:V2融合世界标签体系/通用分类标签/行为动作/剪切 || 26228:V2融合世界标签体系/通用分类标签/行为动作/剪切 || 26283:V2融合世界标签体系/通用分类标签/行为动作/变形/剪切
办公桌,3,4780:V2融合世界标签体系/通用分类标签/人造物体/家具大件/办公桌 || 9784:V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌/办公桌 || 9785:V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌/办公桌
办公椅,3,2312:V2融合世界标签体系/通用分类标签/人物与人体/办公椅 || 4789:V2融合世界标签体系/通用分类标签/人造物体/家具大件/办公椅 || 8470:V2融合世界标签体系/通用分类标签/人造物体/坐椅/办公椅
加拿大马鹿,3,12440:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿 || 12442:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿 || 12443:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/鹿/加拿大马鹿
动力工具,3,7505:V2融合世界标签体系/通用分类标签/人造物体/动力工具 || 9618:V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具 || 29971:V2融合世界标签体系/通用分类标签/声音/事物声音/工具/动力工具
劳动者,3,2315:V2融合世界标签体系/通用分类标签/人物与人体/劳动者 || 2492:V2融合世界标签体系/通用分类标签/人物与人体/劳动者 || 15216:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/劳动者
包,3,8604:V2融合世界标签体系/通用分类标签/人造物体/容器/包 || 26240:V2融合世界标签体系/通用分类标签/行为动作/包 || 32179:V2融合世界标签体系/通用分类标签/知识与学科/收藏品集合/包
半独立式住宅,3,17413:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/半独立式住宅 || 17487:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/半独立式住宅 || 17510:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/半独立式住宅
半面罩,3,7899:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/伪装/假面具/半面罩 || 10858:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/假面具/半面罩 || 10965:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/伪装/假面具/半面罩
南洋杉,3,20048:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/南洋杉 || 20049:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/南洋杉/南洋杉 || 24397:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/坚果/食用坚果/南洋杉
南饼,3,1978:V2融合世界标签体系/通用分类标签/人物与人体/亲属/上升的/克制/祖父母/南饼 || 1979:V2融合世界标签体系/通用分类标签/人物与人体/亲属/上升的/克制/祖父母/南饼/南饼 || 27811:V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包/南饼
卡丁车,3,1040:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/卡丁车 || 1078:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/卡丁车 || 17989:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/卡丁车
卡车,3,518:V2融合世界标签体系/通用分类标签/交通工具/陆地民用车辆/货车/卡车 || 1041:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/卡丁车/卡车 || 1150:V2融合世界标签体系/通用分类标签/交通工具/道路机动车/卡车
印刷,3,641:V2融合世界标签体系/通用分类标签/交通工具/事业/印刷 || 19513:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/手写/字迹/印刷 || 26152:V2融合世界标签体系/通用分类标签/行为动作/写/印刷
印刷品,3,7675:V2融合世界标签体系/通用分类标签/人造物体/台布/印刷品 || 18871:V2融合世界标签体系/通用分类标签/文化艺术与媒介/平面艺术/印刷品 || 19501:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/印刷品
印度楝,3,20140:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/印度楝 || 20141:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/印度楝 || 20203:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/印度楝
卷发器,3,7567:V2融合世界标签体系/通用分类标签/人造物体/卷发器 || 7568:V2融合世界标签体系/通用分类标签/人造物体/卷发器 || 9507:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷发器
卷尺,3,5477:V2融合世界标签体系/通用分类标签/人造物体/工业机械设备/卷尺 || 7039:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/卷尺 || 9754:V2融合世界标签体系/通用分类标签/人造物体/条带/卷尺
卷心菜,3,22314:V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/卷心菜 || 22315:V2融合世界标签体系/通用分类标签/植物/草本植物/十字花科植物/卷心菜/卷心菜 || 29060:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/十字花科蔬菜/卷心菜
卷盘,3,9277:V2融合世界标签体系/通用分类标签/人造物体/摄影设备/相纸/摄影胶片/卷盘 || 9509:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器/卷盘 || 9511:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器/卷盘
压机,3,7569:V2融合世界标签体系/通用分类标签/人造物体/压机 || 8555:V2融合世界标签体系/通用分类标签/人造物体/媒介/印刷媒体/压机 || 9655:V2融合世界标签体系/通用分类标签/人造物体/机器/压机
原鸡,3,14054:V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡 || 14878:V2融合世界标签体系/通用分类标签/动物/鸟类/鸡形目鸟/原鸡 || 14879:V2融合世界标签体系/通用分类标签/动物/鸟类/鸡形目鸟/原鸡/原鸡
厨师,3,1707:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/厨师 || 2413:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/厨师 || 2414:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/厨师/厨师
厨房台面,3,10636:V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面/厨房台面 || 10639:V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/桌面/台面/厨房台面 || 10648:V2融合世界标签体系/通用分类标签/人造物体/表面/桌面/台面/厨房台面
双层巴士,3,671:V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车/双层巴士 || 672:V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车/双层巴士 || 689:V2融合世界标签体系/通用分类标签/交通工具/公共运输/双层巴士
反对,3,17816:V2融合世界标签体系/通用分类标签/建筑与基础设施/反对 || 32030:V2融合世界标签体系/通用分类标签/知识与学科/反对 || 32031:V2融合世界标签体系/通用分类标签/知识与学科/反对
反射,3,26271:V2融合世界标签体系/通用分类标签/行为动作/反射 || 26272:V2融合世界标签体系/通用分类标签/行为动作/反射 || 32033:V2融合世界标签体系/通用分类标签/知识与学科/反射
发电机,3,5486:V2融合世界标签体系/通用分类标签/人造物体/工业机械设备/发电机 || 9669:V2融合世界标签体系/通用分类标签/人造物体/机器/发动机/发动机/发电机 || 10318:V2融合世界标签体系/通用分类标签/人造物体/电子器件/发电机
古筝,3,3228:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/齐特琴/古筝 || 6568:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/古筝 || 30176:V2融合世界标签体系/通用分类标签/声音/古筝
可可,3,20204:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/可可 || 29307:V2融合世界标签体系/通用分类标签/食物/可可 || 29814:V2融合世界标签体系/通用分类标签/食物/食品/可可
台球,3,9965:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/台球 || 9967:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/台球 || 26287:V2融合世界标签体系/通用分类标签/行为动作/台球
叶片,3,9517:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/叶片 || 10477:V2融合世界标签体系/通用分类标签/人造物体/稳定器/安定翼/叶片 || 17817:V2融合世界标签体系/通用分类标签/建筑与基础设施/叶片
合唱团,3,17599:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/合唱团 || 23635:V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织/合唱/合唱团 || 30054:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/歌唱/合唱团
向日葵,3,20747:V2融合世界标签体系/通用分类标签/植物/农作物/向日葵 || 21711:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/向日葵 || 21714:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/向日葵/向日葵
吞火表演者,3,1911:V2融合世界标签体系/通用分类标签/人物与人体/不受欢迎的人/令人不快的人/牢骚满腹的人/吞火表演者 || 2239:V2融合世界标签体系/通用分类标签/人物与人体/保护者/保护器/吞火表演者 || 3071:V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者/吞火表演者
含羞草,3,20483:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/金合欢/金合欢/含羞草 || 20564:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/含羞草 || 29553:V2融合世界标签体系/通用分类标签/食物/致醉物/混合饮料/含羞草
告密者,3,2113:V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者 || 2114:V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者/告密者 || 2115:V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者/告密者/告密者
呼吸器,3,7796:V2融合世界标签体系/通用分类标签/人造物体/呼吸器 || 10767:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/口罩/呼吸器 || 11548:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/导管/导管/气道/呼吸器
哥特式,3,19952:V2融合世界标签体系/通用分类标签/文字与信息图形/自然语言/印欧语系的/日耳曼的/东日耳曼语支/哥特式 || 30874:V2融合世界标签体系/通用分类标签/属性与状态/哥特式 || 32059:V2融合世界标签体系/通用分类标签/知识与学科/哥特式
哼声,3,13258:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/哼声 || 26303:V2融合世界标签体系/通用分类标签/行为动作/呼吸/哼声 || 30046:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/哼声
唇,3,2570:V2融合世界标签体系/通用分类标签/人物与人体/器官/发音器官/咬合架/唇 || 2612:V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/唇 || 24298:V2融合世界标签体系/通用分类标签/自然景观/植物结构/唇
喇叭,3,3297:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/铜管乐器/喇叭 || 9198:V2融合世界标签体系/通用分类标签/人造物体/报警系统/喇叭 || 10271:V2融合世界标签体系/通用分类标签/人造物体/电力设备/换能器/电声传感器/喇叭
喊叫,3,19654:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/话语/喊叫 || 30048:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/喊叫 || 30218:V2融合世界标签体系/通用分类标签/声音/喊叫
喷雾,3,8600:V2融合世界标签体系/通用分类标签/人造物体/容器/分配器/喷雾 || 30004:V2融合世界标签体系/通用分类标签/声音/事物声音/液体/喷雾 || 31640:V2融合世界标签体系/通用分类标签/材料与物质/农药/喷雾
器具,3,8198:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/耐用品/器具 || 8223:V2融合世界标签体系/通用分类标签/人造物体/器具 || 8254:V2融合世界标签体系/通用分类标签/人造物体/器具/器具
四分之一,3,18831:V2融合世界标签体系/通用分类标签/文化艺术与媒介/四分之一 || 31308:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数/四分之一 || 31309:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数/四分之一
四季豆,3,29158:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆 || 29160:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆/四季豆 || 29161:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆/四季豆
国家首都,3,31974:V2融合世界标签体系/通用分类标签/知识与学科/中央/座位/首都/国家首都 || 31991:V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城/国家首都 || 32078:V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城/国家首都
圆珠笔,3,3500:V2融合世界标签体系/通用分类标签/人造物体/办公文具/圆珠笔 || 7869:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/女夜礼服/圆珠笔 || 10935:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/女夜礼服/圆珠笔
圆锥体,3,8445:V2融合世界标签体系/通用分类标签/人造物体/圆锥体 || 24349:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/圆锥体 || 30884:V2融合世界标签体系/通用分类标签/属性与状态/圆形/圆锥体
土豆,3,21307:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/土豆 || 29108:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/根菜类/土豆 || 29130:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/茄科蔬菜/土豆
地堡/击球,3,18286:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/妨碍/危险/地堡/击球 || 25124:V2融合世界标签体系/通用分类标签/行为动作/冲突与执法动作/防御/军需品/地堡/击球 || 26323:V2融合世界标签体系/通用分类标签/行为动作/地堡/击球
地板,3,10651:V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/地板 || 15086:V2融合世界标签体系/通用分类标签/动物/地板 || 17821:V2融合世界标签体系/通用分类标签/建筑与基础设施/地板
地毯,3,4798:V2融合世界标签体系/通用分类标签/人造物体/家具大件/地毯 || 8574:V2融合世界标签体系/通用分类标签/人造物体/家具/地毯 || 11268:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/地板蒙布/地毯
地衣,3,22993:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/地衣 || 22996:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/地衣/地衣 || 31059:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/皮肤病/地衣
坐垫/搁脚凳/草丛,3,8460:V2融合世界标签体系/通用分类标签/人造物体/坐垫/搁脚凳/草丛 || 10563:V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/坐垫/坐垫/搁脚凳/草丛 || 21516:V2融合世界标签体系/通用分类标签/植物/坐垫/搁脚凳/草丛
坐骑,3,12130:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/坐骑 || 17994:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/安装/坐骑 || 24228:V2融合世界标签体系/通用分类标签/自然景观/天然高地/坐骑
块,3,18842:V2融合世界标签体系/通用分类标签/文化艺术与媒介/块 || 24159:V2融合世界标签体系/通用分类标签/自然景观/块 || 31738:V2融合世界标签体系/通用分类标签/材料与物质/块
块状物,3,8505:V2融合世界标签体系/通用分类标签/人造物体/块状物 || 9536:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器/块状物 || 17532:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/块状物
坟墓,3,17617:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/围场/房间/坟墓 || 31392:V2融合世界标签体系/通用分类标签/时间数量与度量/关头/坟墓 || 32251:V2融合世界标签体系/通用分类标签/知识与学科/点/地形点/坟墓
垫子,3,10567:V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/垫子 || 10570:V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/垫子/垫子 || 31926:V2融合世界标签体系/通用分类标签/材料与物质/纸/垫子
塑像,3,18645:V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑/塑像 || 19077:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/仿真/人物/塑像 || 19127:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/塑像
塘鹅,3,14144:V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅 || 14147:V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅 || 14149:V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅/塘鹅
塞子,3,10261:V2融合世界标签体系/通用分类标签/人造物体/电力设备/塞子 || 18274:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/堵塞/塞子 || 18278:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/堵塞/塞子/塞子
墙,3,17560:V2融合世界标签体系/通用分类标签/建筑与基础设施/分隔物/墙 || 18289:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/击剑/墙 || 32091:V2融合世界标签体系/通用分类标签/知识与学科/墙
墨西哥酸浆,3,22640:V2融合世界标签体系/通用分类标签/植物/草本植物/酸浆/墨西哥酸浆 || 22641:V2融合世界标签体系/通用分类标签/植物/草本植物/酸浆/墨西哥酸浆 || 29134:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/茄科蔬菜/墨西哥酸浆
壶,3,4279:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/炊具/壶 || 4282:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/炊具/壶/壶 || 8722:V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/瓶/壶
外壳,3,11279:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/外壳 || 17991:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/外壳 || 24206:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/外壳
外套,3,7993:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套 || 11059:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套 || 11280:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/外套
外科手术,3,17661:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/H类病房/外科手术 || 17733:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/外科手术 || 26347:V2融合世界标签体系/通用分类标签/行为动作/外科手术
多雪的,3,30943:V2融合世界标签体系/通用分类标签/属性与状态/多雪的 || 30944:V2融合世界标签体系/通用分类标签/属性与状态/多雪的 || 30945:V2融合世界标签体系/通用分类标签/属性与状态/多雪的
夜开花仙人掌,3,21534:V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌/夜开花仙人掌 || 21535:V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌/夜开花仙人掌 || 21536:V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌/夜开花仙人掌
大力钳,3,8357:V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把手钳/大力钳 || 8430:V2融合世界标签体系/通用分类标签/人造物体/固定装置/一把手钳/大力钳 || 9114:V2融合世界标签体系/通用分类标签/人造物体/手工工具/一把手钳/大力钳
大厅,3,11588:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/走廊/甬道/大厅 || 17734:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/大厅 || 17861:V2融合世界标签体系/通用分类标签/建筑与基础设施/大厅
大提琴,3,3215:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/弓弦乐器/大提琴 || 6595:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/大提琴 || 29884:V2融合世界标签体系/通用分类标签/声音/乐器/弓弦乐器/大提琴
大白鹭,3,14233:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/苍鹭/大白鹭 || 14237:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/苍鹭/白鹭/大白鹭 || 14238:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/苍鹭/白鹭/大白鹭
大羚羊,3,12414:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/羚羊/大羚羊 || 12415:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/羚羊/大羚羊 || 12416:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/有蹄哺乳动物/偶蹄动物/反刍动物/牛科动物/羚羊/大羚羊
大麦,3,20783:V2融合世界标签体系/通用分类标签/植物/农作物/大麦 || 21257:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/牧草/谷类禾草/大麦 || 29845:V2融合世界标签体系/通用分类标签/食物/食品/谷物/大麦
天竺葵,3,22397:V2融合世界标签体系/通用分类标签/植物/草本植物/天竺葵 || 22399:V2融合世界标签体系/通用分类标签/植物/草本植物/天竺葵/天竺葵 || 32095:V2融合世界标签体系/通用分类标签/知识与学科/天竺葵
头具,3,7831:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具 || 10224:V2融合世界标签体系/通用分类标签/人造物体/用具/平头钉/头具 || 10897:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具
夹克,3,6168:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/夹克 || 7996:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克 || 11062:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克
夹板,3,9073:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/层压材料/夹板 || 9527:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/夹板 || 11373:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋/夹板
奔跑,3,755:V2融合世界标签体系/通用分类标签/交通工具/奔跑 || 26375:V2融合世界标签体系/通用分类标签/行为动作/完成/成就/成功/比分/奔跑 || 30072:V2融合世界标签体系/通用分类标签/声音/人类声音/人类移动/奔跑
女巫帽,3,6056:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/女巫帽 || 7845:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/女巫帽 || 10911:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/女巫帽
奶,3,29323:V2融合世界标签体系/通用分类标签/食物/奶 || 29325:V2融合世界标签体系/通用分类标签/食物/奶 || 29815:V2融合世界标签体系/通用分类标签/食物/食品/奶
奶油,3,2902:V2融合世界标签体系/通用分类标签/人物与人体/杰出人物/奶油 || 9911:V2融合世界标签体系/通用分类标签/人造物体/洗漱用品/奶油 || 29327:V2融合世界标签体系/通用分类标签/食物/奶油
奶茶,3,8545:V2融合世界标签体系/通用分类标签/人造物体/奶茶 || 28660:V2融合世界标签体系/通用分类标签/食物/饮品类/奶茶 || 29491:V2融合世界标签体系/通用分类标签/食物/红茶/奶茶
奶酪火锅,3,28840:V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅 || 28841:V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅/奶酪火锅 || 28843:V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅
姜,3,22407:V2融合世界标签体系/通用分类标签/植物/草本植物/姜 || 22408:V2融合世界标签体系/通用分类标签/植物/草本植物/姜/姜 || 29698:V2融合世界标签体系/通用分类标签/食物/调味剂/姜
婚礼请柬,3,8546:V2融合世界标签体系/通用分类标签/人造物体/婚礼请柬 || 19494:V2融合世界标签体系/通用分类标签/文字与信息图形/书信/婚礼请柬 || 19504:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/原文/书信/婚礼请柬
孤儿,3,1475:V2融合世界标签体系/通用分类标签/人物与人体/基础年龄属性/儿童/孤儿 || 2683:V2融合世界标签体系/通用分类标签/人物与人体/孤儿 || 15063:V2融合世界标签体系/通用分类标签/动物/后代/孤儿
守夜,3,15691:V2融合世界标签体系/通用分类标签/场景/宗教庆典场景/宗教仪式/守夜 || 19160:V2融合世界标签体系/通用分类标签/文化艺术与媒介/调查/守夜 || 31033:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/清醒状态/守夜
安全吊带,3,8152:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备/带/安全吊带 || 10514:V2融合世界标签体系/通用分类标签/人造物体/约束/安全吊带 || 11218:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备/带/安全吊带
安全带,3,8153:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备/带/安全吊带/安全带 || 10515:V2融合世界标签体系/通用分类标签/人造物体/约束/安全吊带/安全带 || 11219:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备/带/安全吊带/安全带
