标签名,出现次数,位置(行号:路径)
鲈鱼,3,8870:V2融合世界标签体系/通用分类标签/人造物体/支持/鲈鱼 || 12321:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/鲈鱼 || 29127:V2融合世界标签体系/通用分类标签/属性与状态/声音属性/沥青/鲈鱼
鸡尾酒,3,27175:V2融合世界标签体系/通用分类标签/食物/饮品类/鸡尾酒 || 27827:V2融合世界标签体系/通用分类标签/食物/致醉物/混合饮料/鸡尾酒 || 28016:V2融合世界标签体系/通用分类标签/食物/路线/前菜/鸡尾酒
M1加兰德步枪,2,10653:V2融合世界标签体系/通用分类标签/人造物体/武器/手枪/半自动枪炮/半自动枪械/M1加兰德步枪 || 10670:V2融合世界标签体系/通用分类标签/人造物体/武器/手枪/来复枪/M1加兰德步枪
Sharpie记号笔,2,2281:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/Sharpie记号笔 || 3117:V2融合世界标签体系/通用分类标签/人造物体/办公文具/书写工具/笔/Sharpie记号笔
一包,2,8173:V2融合世界标签体系/通用分类标签/人造物体/容器/包/包装/包裹/包袱/一包 || 8558:V2融合世界标签体系/通用分类标签/人造物体/恢复药/一包
一品脱的量,2,29530:V2融合世界标签体系/通用分类标签/时间数量与度量/体积单位/一品脱的量 || 29532:V2融合世界标签体系/通用分类标签/时间数量与度量/体积单位/液体单位/一品脱的量
一岁动物,2,11183:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/短尾马/一岁动物 || 11330:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/一岁动物
一种鸟,2,13134:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/一种鸟 || 13170:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/矶鹬/一种鸟
万寿菊,2,20232:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/万寿菊 || 20463:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/金盏花属/万寿菊
万神殿,2,15717:V2融合世界标签体系/通用分类标签/建筑与基础设施/历史古迹地标/纪念碑/万神殿 || 15894:V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/寺庙/万神殿
三叶草饰,2,20749:V2融合世界标签体系/通用分类标签/植物/草本植物/三叶草/三叶草饰 || 21127:V2融合世界标签体系/通用分类标签/植物/草本植物/酢浆草/三叶草饰
三文鱼,2,12215:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/三文鱼 || 28114:V2融合世界标签体系/通用分类标签/食物/食用鱼肉/三文鱼
三明治,2,25485:V2融合世界标签体系/通用分类标签/食物/中式主食面点/三明治 || 27357:V2融合世界标签体系/通用分类标签/食物/一道菜/零食/三明治
三色堇,2,20759:V2融合世界标签体系/通用分类标签/植物/草本植物/中提琴/三色堇 || 20762:V2融合世界标签体系/通用分类标签/植物/草本植物/中提琴/紫罗兰/三色堇
三角旗,2,18216:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/奖项/三角旗 || 18248:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/视觉信号/旗帜/三角旗
上升,2,22705:V2融合世界标签体系/通用分类标签/自然景观/侧面/上升 || 24572:V2融合世界标签体系/通用分类标签/行为动作/位置变化/上升
上层鳉鱼,2,12383:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/软鳍鱼/鲤形目鱼类/上层鳉鱼 || 12401:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/软鳍鱼/鲤形目鱼类/鳉形鱼/上层鳉鱼
上帝,2,1908:V2融合世界标签体系/通用分类标签/人物与人体/会长/贵族/男性贵族/上帝 || 17862:V2融合世界标签体系/通用分类标签/文化艺术与媒介/上帝
上级,2,1848:V2融合世界标签体系/通用分类标签/人物与人体/会长/上级 || 2470:V2融合世界标签体系/通用分类标签/人物与人体/宗教人士/上级
下降,2,24439:V2融合世界标签体系/通用分类标签/行为动作/下降 || 28967:V2融合世界标签体系/通用分类标签/属性与状态/三维形状/中央凹陷/凹陷/下降
不幸,2,21962:V2融合世界标签体系/通用分类标签/组织机构与社会事件/故障/不幸 || 29090:V2融合世界标签体系/通用分类标签/属性与状态/命运/不幸
专员,2,1221:V2融合世界标签体系/通用分类标签/人物与人体/人物关系与群体/同事/会员/专员 || 1766:V2融合世界标签体系/通用分类标签/人物与人体/专家/专员
专家,2,1747:V2融合世界标签体系/通用分类标签/人物与人体/专家 || 2416:V2融合世界标签体系/通用分类标签/人物与人体/大人/专业人员/初级保健提供者/执业医务人员/医学博士/专家
丘鹬,2,13136:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/丘鹬 || 13158:V2融合世界标签体系/通用分类标签/动物/鸟类/涉禽/猎鸟/丘鹬
丝带,2,8887:V2融合世界标签体系/通用分类标签/人造物体/文章/观念/丝带 || 9181:V2融合世界标签体系/通用分类标签/人造物体/条带/丝带
两件套,2,7541:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/一套衣服/商务西装/两件套 || 7669:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/泳衣/两件套
中士,2,2153:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/士官/中士 || 2426:V2融合世界标签体系/通用分类标签/人物与人体/大人/专业人员/律师/出庭律师/中士
中央处理器,2,9717:V2融合世界标签体系/通用分类标签/人造物体/电力设备/电路/计算机电路/印刷电路/卡片/中央处理器 || 9770:V2融合世界标签体系/通用分类标签/人造物体/电子设备/中央处理器
中庭,2,16435:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井/中庭 || 16923:V2融合世界标签体系/通用分类标签/建筑与基础设施/空腔/房间/中庭
中心,2,16247:V2融合世界标签体系/通用分类标签/建筑与基础设施/中心 || 16810:V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/中心
中提琴,2,2907:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/弓弦乐器/中提琴 || 20758:V2融合世界标签体系/通用分类标签/植物/草本植物/中提琴
中耕机,2,2080:V2融合世界标签体系/通用分类标签/人物与人体/创造者/农场主/中耕机 || 9065:V2融合世界标签体系/通用分类标签/人造物体/机器/农业机器/中耕机
主持人,2,1849:V2融合世界标签体系/通用分类标签/人物与人体/会长/主持人 || 1929:V2融合世界标签体系/通用分类标签/人物与人体/传播者/新闻工作者/电视新闻播音员/主持人
主管,2,1223:V2融合世界标签体系/通用分类标签/人物与人体/人物关系与群体/同事/会员/委员会成员/主管 || 1851:V2融合世界标签体系/通用分类标签/人物与人体/会长/主管
主菜,2,27186:V2融合世界标签体系/通用分类标签/食物/一道菜/主菜 || 28008:V2融合世界标签体系/通用分类标签/食物/路线/主菜
主题,2,18130:V2融合世界标签体系/通用分类标签/文字与信息图形/主题 || 18264:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/主题
乌鸫,2,13341:V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/新世界拟鹂/乌鸫 || 13467:V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/鸫/乌鸫
乒乓球台,2,6899:V2融合世界标签体系/通用分类标签/人造物体/体育器材/乒乓球台 || 9225:V2融合世界标签体系/通用分类标签/人造物体/桌子/乒乓球台
乘船游览,2,25090:V2融合世界标签体系/通用分类标签/行为动作/旅行/旅程/乘船游览 || 25102:V2融合世界标签体系/通用分类标签/行为动作/旅行/水路旅行/海上旅行/乘船游览
书写,2,23793:V2融合世界标签体系/通用分类标签/行为动作/工作学习动作/书写 || 24451:V2融合世界标签体系/通用分类标签/行为动作/书写
书包,2,3133:V2融合世界标签体系/通用分类标签/人造物体/办公文具/书包 || 8132:V2融合世界标签体系/通用分类标签/人造物体/容器/包/书包
书桌,2,4437:V2融合世界标签体系/通用分类标签/人造物体/家具大件/书桌 || 9226:V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌
书法,2,17316:V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/书法 || 24335:V2融合世界标签体系/通用分类标签/行为动作/艺术表演动作/书法
书面协议,2,18512:V2融合世界标签体系/通用分类标签/文字与信息图形/法律文件/书面协议 || 18606:V2融合世界标签体系/通用分类标签/文字与信息图形/陈述/协定/书面协议
乳液,2,9322:V2融合世界标签体系/通用分类标签/人造物体/洗漱用品/乳液 || 29762:V2融合世界标签体系/通用分类标签/材料与物质/分泌液/乳液
争吵,2,7662:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/护腿/争吵 || 13992:V2融合世界标签体系/通用分类标签/动物/后代/争吵
事业,2,17390:V2融合世界标签体系/通用分类标签/文化艺术与媒介/事业 || 22007:V2融合世界标签体系/通用分类标签/组织机构与社会事件/事业
二极管,2,8441:V2融合世界标签体系/通用分类标签/人造物体/导体/半导体/二极管 || 9751:V2融合世界标签体系/通用分类标签/人造物体/电子器件/热电子真空管/二极管
二胡,2,2908:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/弓弦乐器/二胡 || 6216:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/二胡
云杉,2,18632:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/云杉 || 29895:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/木/云杉
五月甲虫,2,14190:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/甲虫/鳃角金龟/金龟子/五月甲虫 || 14197:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/甲虫/鳃角金龟/五月甲虫
井筒,2,8710:V2融合世界标签体系/通用分类标签/人造物体/挖掘/井筒 || 10493:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/井筒
交通运输,2,10069:V2融合世界标签体系/通用分类标签/人造物体/装置/交通运输 || 22008:V2融合世界标签体系/通用分类标签/组织机构与社会事件/事业/交通运输
产品,2,7415:V2融合世界标签体系/通用分类标签/人造物体/商品/产品 || 17398:V2融合世界标签体系/通用分类标签/文化艺术与媒介/产品
亮度,2,29018:V2融合世界标签体系/通用分类标签/属性与状态/亮度 || 29410:V2融合世界标签体系/通用分类标签/属性与状态/视觉属性/亮度
人体模型,2,2119:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/助手/人体模型 || 17702:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/仿真/人物/人体模型
人心果,2,18710:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/人心果 || 27530:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/人心果
仔细考虑,2,22808:V2融合世界标签体系/通用分类标签/自然景观/天然高地/前陆/仔细考虑 || 24918:V2融合世界标签体系/通用分类标签/行为动作/思索/仔细考虑
代币,2,8939:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转机构/回合/光盘/代币 || 18209:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/代币
代理人,2,1932:V2融合世界标签体系/通用分类标签/人物与人体/传播者/谈判者/代表/代理人 || 2816:V2融合世界标签体系/通用分类标签/人物与人体/资本家/商业人士/代理人
代表,2,1931:V2融合世界标签体系/通用分类标签/人物与人体/传播者/谈判者/代表 || 2059:V2融合世界标签体系/通用分类标签/人物与人体/倡导者/代言人/代表
仪器,2,6691:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器 || 6851:V2融合世界标签体系/通用分类标签/人造物体/仪器
仪表板,2,10113:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/仪表板 || 17968:V2融合世界标签体系/通用分类标签/文字与信息图形/数字界面/控制面板/仪表板
任务,2,17391:V2融合世界标签体系/通用分类标签/文化艺术与媒介/事业/任务 || 21995:V2融合世界标签体系/通用分类标签/组织机构与社会事件/非政府组织/任务
企业,2,21750:V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/企业 || 21888:V2融合世界标签体系/通用分类标签/组织机构与社会事件/企业
休会期,2,16389:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/围场/休会期 || 22700:V2融合世界标签体系/通用分类标签/自然景观/休会期
休假,2,29582:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/休假时间/休假 || 29585:V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间/休假时间/闲暇/休假
休息,2,8771:V2融合世界标签体系/通用分类标签/人造物体/支持/休息 || 24038:V2融合世界标签体系/通用分类标签/行为动作/日常生活动作/休息
优胜者,2,2308:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/优胜者 || 2324:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/挑战者/优胜者
会堂,2,16258:V2融合世界标签体系/通用分类标签/建筑与基础设施/会堂 || 16449:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/会堂
会议,2,18274:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/言语/会议 || 24294:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议
会议厅,2,16385:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/听众席/会议厅 || 16507:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/大厅/会议厅
伞菌,2,21465:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/伞菌 || 21486:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/担子菌/伞菌
伤害,2,24846:V2融合世界标签体系/通用分类标签/行为动作/完整性变化/伤害 || 29241:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/伤害
伤风,2,29255:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/传染性疾病/伤风 || 29257:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/呼吸疾病/伤风
位置,2,29204:V2融合世界标签体系/通用分类标签/属性与状态/形势/位置 || 30024:V2融合世界标签体系/通用分类标签/知识与学科/一块土地/位置
低音吉他,2,2899:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/六弦琴/低音吉他 || 28204:V2融合世界标签体系/通用分类标签/声音/乐器/拨弦乐器/吉他/低音吉他
低音提琴,2,2909:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/弓弦乐器/低音提琴 || 28176:V2融合世界标签体系/通用分类标签/声音/乐器/弓弦乐器/低音提琴
住房,2,9638:V2融合世界标签体系/通用分类标签/人造物体/用具/平头钉/住房 || 10114:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/住房
体育运动,2,1460:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/体育运动 || 24886:V2融合世界标签体系/通用分类标签/行为动作/岗位/体育运动
体重秤,2,6758:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/秤/体重秤 || 29640:V2融合世界标签体系/通用分类标签/时间数量与度量/度量/体重秤
供应,2,24623:V2融合世界标签体系/通用分类标签/行为动作/供应 || 29495:V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/供应
侧面,2,9995:V2融合世界标签体系/通用分类标签/人造物体/表面/侧面 || 22704:V2融合世界标签体系/通用分类标签/自然景观/侧面
侵蚀,2,24727:V2融合世界标签体系/通用分类标签/行为动作/化学加工/侵蚀 || 24798:V2融合世界标签体系/通用分类标签/行为动作/地质作用/侵蚀
保护,2,10110:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护 || 24628:V2融合世界标签体系/通用分类标签/行为动作/保护
保护者,2,2034:V2融合世界标签体系/通用分类标签/人物与人体/保护者 || 8872:V2融合世界标签体系/通用分类标签/人造物体/救援设备/保护者
保温杯,2,4030:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/陶瓷餐具/杯/保温杯 || 4062:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/保温杯
保险气袋,2,8133:V2融合世界标签体系/通用分类标签/人造物体/容器/包/保险气袋 || 9897:V2融合世界标签体系/通用分类标签/人造物体/约束/保险气袋
保险箱,2,8367:V2融合世界标签体系/通用分类标签/人造物体/容器/盒子/保险箱 || 8386:V2融合世界标签体系/通用分类标签/人造物体/容器/盒子/箱/保险箱
信箱,2,8531:V2融合世界标签体系/通用分类标签/人造物体/开口/狭缝/投币口/信箱 || 10076:V2融合世界标签体系/通用分类标签/人造物体/装置/保管人/储藏所/邮件投递点/信箱
修枝剪,2,7905:V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀/大剪刀/修枝剪刀/修枝剪 || 8664:V2融合世界标签体系/通用分类标签/人造物体/手工工具/锯/手锯/修枝锯/修枝剪
修道院,2,15908:V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/教堂/修道院 || 16274:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院
修道院回廊,2,16273:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊 || 16437:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井/修道院回廊
倒挂金钟,2,19139:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/倒挂金钟 || 20788:V2融合世界标签体系/通用分类标签/植物/草本植物/倒挂金钟
假主教帽花,2,20164:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/野花/假主教帽花 || 20789:V2融合世界标签体系/通用分类标签/植物/草本植物/假主教帽花
假靛蓝,2,19086:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/假靛蓝 || 19198:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/棉条/假靛蓝
停车标志,2,18478:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/停车标志 || 18486:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志/停车标志
健身训练,2,14496:V2融合世界标签体系/通用分类标签/场景/体育娱乐场景/健身训练 || 23610:V2融合世界标签体系/通用分类标签/行为动作/体育运动动作/健身训练
储气罐,2,6693:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/仪表/储气罐 || 10688:V2融合世界标签体系/通用分类标签/人造物体/储罐容器/储气罐
儿童喊叫,2,28338:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/喊叫/儿童喊叫 || 28399:V2融合世界标签体系/通用分类标签/声音/人类群体行为/儿童喊叫
充气艇,2,201:V2融合世界标签体系/通用分类标签/交通工具/水上载具/充气艇 || 239:V2融合世界标签体系/通用分类标签/交通工具/水上载具/小船/充气艇
充电器,2,5450:V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/充电器 || 11149:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/坐骑/战马/充电器
先生,2,1390:V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/男性/成年雄性/先生 || 18019:V2融合世界标签体系/通用分类标签/文字与信息图形/文字内容/标题/先生
先知,2,2459:V2融合世界标签体系/通用分类标签/人物与人体/宗教人士/先知 || 2635:V2融合世界标签体系/通用分类标签/人物与人体/智力/空想家/占卜者/先知
光,2,7022:V2融合世界标签体系/通用分类标签/人造物体/光 || 7046:V2融合世界标签体系/通用分类标签/人造物体/光源/光
克莱门氏小柑橘,2,18850:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属/柑桔/克莱门氏小柑橘 || 27568:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/橘子/克莱门氏小柑橘
兔,2,11331:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔 || 11336:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔
兔子,2,11337:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔/兔子 || 11345:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔子
入口,2,8856:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/窗台/入口 || 10487:V2融合世界标签体系/通用分类标签/人造物体/道路/访问/入口
全景,2,17724:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/图像/全景 || 30304:V2融合世界标签体系/通用分类标签/知识与学科/知识/表征/知觉表象/视觉知觉/全景
八角,2,18713:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/八角 || 28002:V2融合世界标签体系/通用分类标签/食物/调味剂/香料/八角
公交车,2,703:V2融合世界标签体系/通用分类标签/交通工具/公交车 || 716:V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车
公共汽车,2,1024:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/公共汽车 || 1074:V2融合世界标签体系/通用分类标签/交通工具/道路机动车/公共汽车
公立学校,2,15598:V2融合世界标签体系/通用分类标签/建筑与基础设施/公共服务建筑/学校/公立学校 || 21727:V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/教育机构/公立学校
共管公寓,2,16300:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/共管公寓 || 16319:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/共管公寓
关头,2,21903:V2融合世界标签体系/通用分类标签/组织机构与社会事件/关头 || 29547:V2融合世界标签体系/通用分类标签/时间数量与度量/关头
关节,2,2068:V2融合世界标签体系/通用分类标签/人物与人体/关节 || 10408:V2融合世界标签体系/通用分类标签/人造物体/连接/交汇处/关节
写字台,2,8298:V2融合世界标签体系/通用分类标签/人造物体/容器/容器盒/写字台 || 9227:V2融合世界标签体系/通用分类标签/人造物体/桌子/书桌/写字台
军号,2,2991:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/铜管乐器/军号 || 28229:V2融合世界标签体系/通用分类标签/声音/乐器/铜管乐器/军号
军需品,2,7075:V2融合世界标签体系/通用分类标签/人造物体/军需品 || 23666:V2融合世界标签体系/通用分类标签/行为动作/冲突与执法动作/防御/军需品
军鼓,2,2942:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/打击乐器/膜质乐器/军鼓 || 28197:V2融合世界标签体系/通用分类标签/声音/乐器/打击乐/鼓/军鼓
农场动物,2,11350:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/农场动物 || 13969:V2融合世界标签体系/通用分类标签/动物/农场动物
农贸市场,2,15792:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/农贸市场 || 15800:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/市场广场/农贸市场
冬南瓜,2,19865:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/南瓜藤/冬南瓜 || 27459:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/壁球运动/冬南瓜
冬季风暴,2,22468:V2融合世界标签体系/通用分类标签/自然景观/天文天象气象/风暴/冬季风暴 || 25209:V2融合世界标签体系/通用分类标签/行为动作/物理现象/大气现象/冬季风暴
冬瓜,2,19909:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/葫芦/甜瓜/冬瓜 || 27606:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜/冬瓜
冬青,2,18785:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/冬青 || 29632:V2融合世界标签体系/通用分类标签/时间数量与度量/寄生生物/寄生植物/冬青
冰川,2,22260:V2融合世界标签体系/通用分类标签/自然景观/冰雪与极地/冰川 || 22475:V2融合世界标签体系/通用分类标签/自然景观/水文水体/冰川
冰球运动员,2,1461:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/冰球运动员 || 2310:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/参与者/冰球运动员
冰箱,2,4751:V2融合世界标签体系/通用分类标签/人造物体/家用电器/冰箱 || 4844:V2融合世界标签体系/通用分类标签/人造物体/家用电器/大型白色家电/冰箱
冰雕,2,17332:V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑/冰雕 || 17804:V2融合世界标签体系/通用分类标签/文化艺术与媒介/通过移除创造/冰雕
冰鞋,2,6916:V2融合世界标签体系/通用分类标签/人造物体/体育器材/冰鞋 || 12444:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/软骨鱼/板鳃类鱼/鳐鱼/冰鞋
冲压机,2,9075:V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/冲压机 || 9109:V2融合世界标签体系/通用分类标签/人造物体/机器/压机/冲压机
冲浪板,2,6225:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/冲浪板 || 8578:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板/冲浪板
决明属植物,2,18720:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/决明属植物 || 18819:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/月桂/决明属植物
冷却,2,8892:V2融合世界标签体系/通用分类标签/人造物体/机制/冷却 || 25180:V2融合世界标签体系/通用分类标签/行为动作/温度变化/冷却
冷杉,2,18643:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/冷杉 || 29896:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/木/冷杉
冻酸奶,2,28025:V2融合世界标签体系/通用分类标签/食物/路线/点心/冷冻甜点/冻酸奶 || 28055:V2融合世界标签体系/通用分类标签/食物/酸奶/冻酸奶
凉鞋,2,5787:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/凉鞋 || 10329:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋/凉鞋
凝乳,2,26691:V2融合世界标签体系/通用分类标签/食物/肉蛋奶食材/乳制品/凝乳 || 28071:V2融合世界标签体系/通用分类标签/食物/食品/凝乳
几内亚胡椒,2,18722:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/几内亚胡椒 || 20806:V2融合世界标签体系/通用分类标签/植物/草本植物/几内亚胡椒
凤蝶,2,7591:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克/凤蝶 || 14275:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蝴蝶/凤蝶
凳子,2,4455:V2融合世界标签体系/通用分类标签/人造物体/家具大件/凳子 || 8025:V2融合世界标签体系/通用分类标签/人造物体/坐椅/凳子
凸出,2,24569:V2融合世界标签体系/通用分类标签/行为动作/伸出/凸出 || 28970:V2融合世界标签体系/通用分类标签/属性与状态/三维形状/凸出
凸耳,2,7243:V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/帆/纵帆/凸耳 || 16680:V2融合世界标签体系/通用分类标签/建筑与基础设施/投影/凸耳
出口,2,7418:V2融合世界标签体系/通用分类标签/人造物体/商品/出口 || 8510:V2融合世界标签体系/通用分类标签/人造物体/开口/出口
出租马车,2,331:V2融合世界标签体系/通用分类标签/交通工具/畜力与传统载具/马车/出租马车 || 11144:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/出租马车
击打,2,24839:V2融合世界标签体系/通用分类标签/行为动作/完成/成就/成功/击打 || 25367:V2融合世界标签体系/通用分类标签/行为动作/触摸/击打
击球头盔,2,6938:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/击球头盔 || 7441:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜鍪/击球头盔
击球手,2,1476:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/棒球手/击球手 || 28081:V2融合世界标签体系/通用分类标签/食物/食品/混合物/击球手
