行号(全部出现位置),标签名,出现次数,父节点路径
17780;17782,画廊,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室
17787;17788,舞蹈室,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室
17840;17841,塔架,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔
17854;17856,钟塔,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/塔
17875;17876,家居装饰,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
17893;17894,平转桥,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
18010;18011,酒架,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/支架
18030;18031,商店橱窗,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/窗户
18032;18033;18034,天窗,3,V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/窗户
18040;18041,推拉窗,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/窗户
18066;18067,旅店外部,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
18122;18123,海湾大桥,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/桥
18129;18130;18131,铁路桥,3,V2融合世界标签体系/通用分类标签/建筑与基础设施/桥
18173;18174,玻璃建筑,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
18234;18235,蝴蝶馆,2,V2融合世界标签体系/通用分类标签/建筑与基础设施
18326;18327,电梯门,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/可移动屏障/门
18329;18330,车库门,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/可移动屏障/门
18345;18346,路障,2,V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障
18458;18459,动画电影,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视视频/电影
18461;18462,喜剧电影,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视视频/电影
18463;18464,恐怖电影,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视视频/电影
18466;18467,科幻电影,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视视频/电影
18640;18641,冰雕,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑
18642;18643,动物雕塑,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑
18646;18647,青铜雕像,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑/塑像
18649;18650,沙雕,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑
18652;18653,石雕,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑
18654;18655,青铜雕塑,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/视觉艺术/雕塑
18674;18675,电视节目,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/音乐音频/广播
18740;18748,书,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/产品
18757;18758,倒立,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/体育锻炼/体操练习
18815;18820,区域,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
18864;18867,工作室,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
18964;18965,油画,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
19067;19068,艺术工作室,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
19083;19084,卡通插图,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/例证
19086;19087,水彩插图,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/例证
19088;19089,矢量卡通插图,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/例证
19189;19190,考古发掘,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介/通过移除创造/挖掘
19193;19194,部分,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
19244;19245,音乐工作室,2,V2融合世界标签体系/通用分类标签/文化艺术与媒介
19495;19496,邀请,2,V2融合世界标签体系/通用分类标签/文字与信息图形/书信
19505;19506,邀请,2,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/原文/书信
19519;19525,代码,2,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/手写/字迹/编码系统
19566;19626,信号,2,V2融合世界标签体系/通用分类标签/文字与信息图形
19593;19594,奖章,2,V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/奖项
19631;19632,邮件,2,V2融合世界标签体系/通用分类标签/文字与信息图形/信息
19743;19744,电影票,2,V2融合世界标签体系/通用分类标签/文字与信息图形/商业文件/券
19841;19842,新闻,2,V2融合世界标签体系/通用分类标签/文字与信息图形
19859;19860;19861,停车标志,3,V2融合世界标签体系/通用分类标签/文字与信息图形/标志/交通标志
19867;19868,警告标志,2,V2融合世界标签体系/通用分类标签/文字与信息图形/标志
19872;19873;19874,停车标志,3,V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志
19976;19978,图表,2,V2融合世界标签体系/通用分类标签/文字与信息图形/视觉传达
19994;19995,公告,2,V2融合世界标签体系/通用分类标签/文字与信息图形/陈述
20012;20013,频道,2,V2融合世界标签体系/通用分类标签/文字与信息图形
20045;20046,圣诞树,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/冷杉/银冷杉
20055;20056,云杉松,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/松属植物
20097;20102,雪松,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树
20140;20141,印度楝,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木
20250;20254,柑桔,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属
20285;20286,番石榴,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树
20333;20334,印度榕,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/无花果树
20348;20349,土耳其栎,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/栎树
20355;20356,月桂叶栎,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/栎树
20511;20512;20513,丝兰,3,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/丝兰
20587;20589,山龙眼属植物,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木
20605;20606,月季,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木
20664;20666,蜀葵,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/锦葵
20675;20676,得州羽扇豆,2,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/羽叶豆
21181;21182,臭菘,2,V2融合世界标签体系/通用分类标签/植物/水生植物/沼泽植物
21247;21248,羊茅,2,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/牧草
21416;21417,冬青蕨,2,V2融合世界标签体系/通用分类标签/植物/不开花植物/蕨类植物
21534;21535;21536,夜开花仙人掌,3,V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌
21539;21540,桶形仙人掌,2,V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌
21613;21614,仙客来,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21652;21653,沼泽兰,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物
21657;21658,火烧兰,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物
21685;21686,蝇兰,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物
21697;21698,剪秋罗,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/剪秋罗属
21741;21742,婆婆纳,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/婆婆纳
21753;21754,库存,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21769;21770,松果菊,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21774;21775,桂竹香,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21788;21790,漆姑草,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21796;21797,瓜叶菊,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
21805;21806,常夏石竹,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/石竹
21833;21834,冰岛罂粟,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/罂粟
21850;21851,草原火箭花,2,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物
22126;22127,土耳其帽形植物,2,V2融合世界标签体系/通用分类标签/植物/球根植物/百合科植物/百合
22172;22173,盆栽植物,2,V2融合世界标签体系/通用分类标签/植物
22209;22210,花田,2,V2融合世界标签体系/通用分类标签/植物
22245;22246,三色堇,2,V2融合世界标签体系/通用分类标签/植物/草本植物/中提琴
22256;22257,乔派伊草,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22272;22273,亚麻,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22357;22358,响尾蛇根,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22391;22392,三叶天南星,2,V2融合世界标签体系/通用分类标签/植物/草本植物/天南星属植物
22420;22421,山柳菊,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22523;22524,甜叶菊,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22550;22552,繁缕,2,V2融合世界标签体系/通用分类标签/植物/草本植物
22640;22641,墨西哥酸浆,2,V2融合世界标签体系/通用分类标签/植物/草本植物/酸浆
22743;22744,街头食品,2,V2融合世界标签体系/通用分类标签/植物
22745;22746,街市,2,V2融合世界标签体系/通用分类标签/植物
22747;22748,街景,2,V2融合世界标签体系/通用分类标签/植物
22982;22984,假松露,2,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类
22999;23000,子囊菌,2,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类
23014;23015,四孢蘑菇,2,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/担子菌/伞菌
23036;23037,蘑菇,2,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/担子菌/伞菌
23221;23223,诊所,2,V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/医疗机构
23252;23253,大学,2,V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/教育机构
23630;23632,乐团,2,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织
23739;23740,冰洞,2,V2融合世界标签体系/通用分类标签/自然景观/地质地貌/洞穴
23939;23940;23941,鱼塘,3,V2融合世界标签体系/通用分类标签/自然景观/水文水体/湖泊/池
23945;23946,火山口湖,2,V2融合世界标签体系/通用分类标签/自然景观/水文水体/湖泊
23947;23948,盐湖,2,V2融合世界标签体系/通用分类标签/自然景观/水文水体/湖泊
24062;24063,松林,2,V2融合世界标签体系/通用分类标签/自然景观/生态环境/森林
24065;24066,热带雨林,2,V2融合世界标签体系/通用分类标签/自然景观/生态环境/森林
24068;24069,竹林,2,V2融合世界标签体系/通用分类标签/自然景观/生态环境/森林
24109;24111,山坡,2,V2融合世界标签体系/通用分类标签/自然景观/侧面
24118;24120,冠饰,2,V2融合世界标签体系/通用分类标签/自然景观
24133;24134,火坑,2,V2融合世界标签体系/通用分类标签/自然景观/凹陷地/中空的/坑
24141;24142;24143,河床,3,V2融合世界标签体系/通用分类标签/自然景观/凹陷地/床
24163;24164,多云天气,2,V2融合世界标签体系/通用分类标签/自然景观
24171;24172,恒星,2,V2融合世界标签体系/通用分类标签/自然景观/天体
24204;24205,壳,2,V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物
24230;24231;24232,雪山,3,V2融合世界标签体系/通用分类标签/自然景观/天然高地/坐骑
24245;24246,山地景观,2,V2融合世界标签体系/通用分类标签/自然景观
24284;24285,晨光,2,V2融合世界标签体系/通用分类标签/自然景观
24328;24329,枫叶,2,V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/叶
24350;24351,松果,2,V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/圆锥体
24357;24358,假果,2,V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子
24401;24402,山核桃,2,V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/坚果/食用坚果
24463;24465,水坑,2,V2融合世界标签体系/通用分类标签/自然景观
24483;24484,海冰,2,V2融合世界标签体系/通用分类标签/自然景观
24485;24486,海景,2,V2融合世界标签体系/通用分类标签/自然景观
24536;24537,爆竹,2,V2融合世界标签体系/通用分类标签/节日与符号/庆典仪式元素/烟花
24559;24560,水果蛋糕,2,V2融合世界标签体系/通用分类标签/节日与符号/庆典仪式元素/蛋糕
24568;24569,胡萝卜蛋糕,2,V2融合世界标签体系/通用分类标签/节日与符号/庆典仪式元素/蛋糕
24572;24573,生日蜡烛,2,V2融合世界标签体系/通用分类标签/节日与符号/庆典仪式元素/蜡烛
24680;24681,遛狗,2,V2融合世界标签体系/通用分类标签/行为动作/交通出行动作/步行
24741;24742,街头摄影,2,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/摄影
24772;24773,橄榄球,2,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/体育游戏/户外游戏/场地运动/橄榄球
24789;24790,披肩榛鸡,2,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/准许捕捉的鸟/松鸡
24830;24831,桌上足球,2,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/桌上游戏
24840;24841,超级碗,2,V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏
25712;25713,个人护理,2,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/照护
25754;25756,会议,2,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/会议
25898;25899,上升,2,V2融合世界标签体系/通用分类标签/行为动作
25911;25912,中断,2,V2融合世界标签体系/通用分类标签/行为动作
25940;25941,仪式,2,V2融合世界标签体系/通用分类标签/行为动作
25965;25970,滑冰,2,V2融合世界标签体系/通用分类标签/行为动作/休养/体育
25998;25999,时装秀,2,V2融合世界标签体系/通用分类标签/行为动作/休养/娱乐
26046;26048,伸出,2,V2融合世界标签体系/通用分类标签/行为动作
26095;26103,连接,2,V2融合世界标签体系/通用分类标签/行为动作/使联合
26110;26111,依附,2,V2融合世界标签体系/通用分类标签/行为动作
26149;26150;26151;26153;26154;26155,写,6,V2融合世界标签体系/通用分类标签/行为动作
26168;26171,出卖,2,V2融合世界标签体系/通用分类标签/行为动作
26172;26173,出口,2,V2融合世界标签体系/通用分类标签/行为动作
26217;26218,刹车,2,V2融合世界标签体系/通用分类标签/行为动作
26227;26228,剪切,2,V2融合世界标签体系/通用分类标签/行为动作
26271;26272,反射,2,V2融合世界标签体系/通用分类标签/行为动作
26274;26275,发射,2,V2融合世界标签体系/通用分类标签/行为动作
26306;26307,喘鸣,2,V2融合世界标签体系/通用分类标签/行为动作/呼吸
26308;26309,打鼾,2,V2融合世界标签体系/通用分类标签/行为动作/呼吸
26413;26414,定位,2,V2融合世界标签体系/通用分类标签/行为动作
26505;26506;26507,打排球,3,V2融合世界标签体系/通用分类标签/行为动作
26513;26514,打篮球,2,V2融合世界标签体系/通用分类标签/行为动作
26515;26516,打网球,2,V2融合世界标签体系/通用分类标签/行为动作
26517;26518,打羽毛球,2,V2融合世界标签体系/通用分类标签/行为动作
26539;26540,拍击,2,V2融合世界标签体系/通用分类标签/行为动作
26560;26561,挥舞,2,V2融合世界标签体系/通用分类标签/行为动作
26575;26576,接或掷飞盘,2,V2融合世界标签体系/通用分类标签/行为动作
26593;26595,挤,2,V2融合世界标签体系/通用分类标签/行为动作/推进/推/加压
26644;26645,攻击,2,V2融合世界标签体系/通用分类标签/行为动作
26661;26662,公路旅行,2,V2融合世界标签体系/通用分类标签/行为动作/旅行/旅程
26730;26731,毕业典礼,2,V2融合世界标签体系/通用分类标签/行为动作
26751;26752,海浪,2,V2融合世界标签体系/通用分类标签/行为动作
26763;26764,游行,2,V2融合世界标签体系/通用分类标签/行为动作
26851;26852,玩乒乓球,2,V2融合世界标签体系/通用分类标签/行为动作
26853;26854,玩具枪,2,V2融合世界标签体系/通用分类标签/行为动作
26893;26894,研究,2,V2融合世界标签体系/通用分类标签/行为动作/研究
26923;26924,给,2,V2融合世界标签体系/通用分类标签/行为动作
26930;26931,编辑,2,V2融合世界标签体系/通用分类标签/行为动作
26971;26972,角色扮演,2,V2融合世界标签体系/通用分类标签/行为动作
26982;26983,讨论,2,V2融合世界标签体系/通用分类标签/行为动作
27002;27003,踢足球,2,V2融合世界标签体系/通用分类标签/行为动作
27075;27076,骑自行车,2,V2融合世界标签体系/通用分类标签/行为动作
27797;27798,全麦面包,2,V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包
28486;28495,辣椒酱,2,V2融合世界标签体系/通用分类标签/食物/调味品
28505;28514,醋,2,V2融合世界标签体系/通用分类标签/食物/调味品
28832;28834,墨西哥卷饼,2,V2融合世界标签体系/通用分类标签/食物/一道菜
28840;28843,奶酪火锅,2,V2融合世界标签体系/通用分类标签/食物/一道菜
28888;28889,浓汤,2,V2融合世界标签体系/通用分类标签/食物/一道菜/汤
29025;29027,晚餐,2,V2融合世界标签体系/通用分类标签/食物/一餐
29160;29161,四季豆,2,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/菜豆/鲜豆/四季豆
29196;29197,曼密苹果,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果
29203;29204,杨桃,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果
29214;29218,橘子,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属
29228;29229,槟榔青属果实,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果
29234;29235,欧楂果,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果
29258;29259,哈密瓜,2,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜/甜瓜
29312;29313,咖啡师,2,V2融合世界标签体系/通用分类标签/食物
29323;29325,奶,2,V2融合世界标签体系/通用分类标签/食物
29329;29330,姜饼屋,2,V2融合世界标签体系/通用分类标签/食物
29331;29332,婴儿食品,2,V2融合世界标签体系/通用分类标签/食物
29377;29378,棉花糖,2,V2融合世界标签体系/通用分类标签/食物/摩托人力车/甜食/糖制食品
29391;29393,软糖,2,V2融合世界标签体系/通用分类标签/食物/摩托人力车/甜食/糖制食品
29421;29422,油炸食品,2,V2融合世界标签体系/通用分类标签/食物
29425;29426,洋葱圈,2,V2融合世界标签体系/通用分类标签/食物
29448;29449,炒蛋,2,V2融合世界标签体系/通用分类标签/食物
29472;29473,珍珠奶茶,2,V2融合世界标签体系/通用分类标签/食物
29480;29483,饮食,2,V2融合世界标签体系/通用分类标签/食物/票价
29511;29512,牛排,2,V2融合世界标签体系/通用分类标签/食物/肉/切割
29767;29769,布丁,2,V2融合世界标签体系/通用分类标签/食物/路线/点心
29817;29821,果汁,2,V2融合世界标签体系/通用分类标签/食物/食品
29873;29874,MP3播放器,2,V2融合世界标签体系/通用分类标签/声音
30042;30043,呻吟声,2,V2融合世界标签体系/通用分类标签/声音/人类声音/人声
30149;30150,刺耳杂音,2,V2融合世界标签体系/通用分类标签/声音
30222;30223,嗡嗡声,2,V2融合世界标签体系/通用分类标签/声音
30390;30391,砰声,2,V2融合世界标签体系/通用分类标签/声音/来源不明声音/通用撞击声
30494;30495,白噪声,2,V2融合世界标签体系/通用分类标签/声音
30505;30506,破碎,2,V2融合世界标签体系/通用分类标签/声音
30523;30524,繁荣,2,V2融合世界标签体系/通用分类标签/声音
30601;30602,铿锵声,2,V2融合世界标签体系/通用分类标签/声音
30668;30669,内部,2,V2融合世界标签体系/通用分类标签/声音/频道/声环境
30741;30742,茶园,2,V2融合世界标签体系/通用分类标签/属性与状态/不动产/不动产/种植园
30752;30762,个性,2,V2融合世界标签体系/通用分类标签/属性与状态
30769;30770;30771,乡下+的,3,V2融合世界标签体系/通用分类标签/属性与状态
30804;30805;30806;30807,令人惊叹的,4,V2融合世界标签体系/通用分类标签/属性与状态
30830;30831,具有历史意义的,2,V2融合世界标签体系/通用分类标签/属性与状态
30845;30846,包含,2,V2融合世界标签体系/通用分类标签/属性与状态
30851;30852,历史+的,2,V2融合世界标签体系/通用分类标签/属性与状态
30862;30863,可转换的,2,V2融合世界标签体系/通用分类标签/属性与状态
30911;30912,坚固+的,2,V2融合世界标签体系/通用分类标签/属性与状态
30943;30944;30945,多雪的,3,V2融合世界标签体系/通用分类标签/属性与状态
30969;30970,州立公园,2,V2融合世界标签体系/通用分类标签/属性与状态
31116;31117,明亮的,2,V2融合世界标签体系/通用分类标签/属性与状态
31143;31144,沙质的,2,V2融合世界标签体系/通用分类标签/属性与状态
31185;31186,短+的,2,V2融合世界标签体系/通用分类标签/属性与状态
31187;31188,秃头的,2,V2融合世界标签体系/通用分类标签/属性与状态
31190;31191,稳定的,2,V2融合世界标签体系/通用分类标签/属性与状态
31228;31229,英俊的,2,V2融合世界标签体系/通用分类标签/属性与状态
31232;31233;31234;31236;31237;31238,裸露,6,V2融合世界标签体系/通用分类标签/属性与状态
31274;31275,赤膊的,2,V2融合世界标签体系/通用分类标签/属性与状态
31306;31307,一半,2,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数
31308;31309,四分之一,2,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数
31437;31438,季节,2,V2融合世界标签体系/通用分类标签/时间数量与度量/基本量/一段时间
31471;31472,夜空,2,V2融合世界标签体系/通用分类标签/时间数量与度量
31489;31491,货币,2,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介
31494;31495,硬币,2,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币
31649;31650,兽皮,2,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/兽皮
31694;31695,氢氧化物,2,V2融合世界标签体系/通用分类标签/材料与物质/化合物
31741;31742,垃圾,2,V2融合世界标签体系/通用分类标签/材料与物质/垃圾
31843;31845,流体,2,V2融合世界标签体系/通用分类标签/材料与物质
31873;31874,火花,2,V2融合世界标签体系/通用分类标签/材料与物质
31969;31970,中央,2,V2融合世界标签体系/通用分类标签/知识与学科
31988;31990,城,2,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇
31999;32000,傍晚天空,2,V2融合世界标签体系/通用分类标签/知识与学科
32030;32031,反对,2,V2融合世界标签体系/通用分类标签/知识与学科
32034;32035,冥想,2,V2融合世界标签体系/通用分类标签/知识与学科/反射
32075;32077,城,2,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇
32240;32243,点,2,V2融合世界标签体系/通用分类标签/知识与学科
32355;32359,小径,2,V2融合世界标签体系/通用分类标签/知识与学科/线
32858;32863,军火,2,V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器
32922;32923,足球守门员,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/体育明星/足球运动员
32953;32954,婚礼摄影师,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/历史古人/艺术家/摄影师
32961;32962,民间艺术家,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/历史古人/艺术家
32971;32972,街头艺术家,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/历史古人/艺术家
33068;33069,黑客,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/工程师
33144;33145,主唱,2,V2融合世界标签体系/IP 分类标签/真人与人物 IP/音乐艺人/歌手
